,finalist,variable,value
0,Chad Michaels_US_1_AS,1,0.0
1,Raven_US_1_AS,1,3.0
2,Jujubee_US_1_AS,1,3.0
3,Shannel_US_1_AS,1,0.0
4,Alaska_US_2_AS,1,3.0
5,Detox_US_2_AS,1,2.0
6,Katya_US_2_AS,1,2.0
7,Roxxxy Andrews_US_2_AS,1,5.0
8,Trixie Mattel_US_3_AS,1,2.0
9,Kennedy Davenport_US_3_AS,1,2.0
10,BeBe Zahara Benet_US_3_AS,1,2.0
11,Shangela_US_3_AS,1,3.0
12,Monet X Change_US_4_AS,1,1.0
13,Trinity the Tuck_US_4_AS,1,5.0
14,Monique Heart_US_4_AS,1,4.0
15,Naomi Smalls_US_4_AS,1,3.0
16,Jujubee_US_5_AS,1,2.0
17,Shea Coulee_US_5_AS,1,2.0
18,Miz Cracker_US_5_AS,1,3.0
19,Priyanka_CAN_1_REG,1,2.0
20,Rita Baga_CAN_1_REG,1,5.0
21,Scarlett BoBo_CAN_1_REG,1,2.0
22,Envy Peru_HOL_1_REG,1,2.0
23,Janey Jacke_HOL_1_REG,1,5.0
24,Ma'Ma Queen_HOL_1_REG,1,1.0
25,Miss Abby OMG_HOL_1_REG,1,2.0
26,Natalia Pilacam_THI_1_REG,1,2.0
27,Annee Maywong_THI_1_REG,1,4.0
28,Dearis Doll_THI_1_REG,1,2.0
29,The Vivienne_UK_1_REG,1,5.0
30,Divina de Campo_UK_1_REG,1,2.0
31,Baga Chipz_UK_1_REG,1,3.0
32,Bebe Zahara Benet_US_1_REG,1,2.0
33,Nina Flowers_US_1_REG,1,5.0
34,Rebbeca Glasscock_US_1_REG,1,1.0
35,Aquaria_US_10_REG,1,2.0
36,Eureka_US_10_REG,1,2.0
37,Kameron Michaels_US_10_REG,1,2.0
38,Asia O'Hara_US_10_REG,1,2.0
39,Yvie Oddly_US_11_REG,1,2.0
40,Brooke Lynn Hytes_US_11_REG,1,5.0
41,A'keria Davenport_US_11_REG,1,3.0
42,Silky Nutmeg Ganache_US_11_REG,1,2.0
43,Jaida Essence Hall_US_12_REG,1,
44,Crystal Methyd_US_12_REG,1,2.0
45,Gigi Goode_US_12_REG,1,4.0
46,Symone_US_13_REG,1,3.0
47,Kandy Muse_US_13_REG,1,3.0
48,Gottmik_US_13_REG,1,3.0
49,Rose_US_13_REG,1,1.0
50,Angele Anang_THI_2_REG,1,4.0
51,Kana Warrior_THI_2_REG,1,2.0
52,Kandy Zyanide_THI_2_REG,1,3.0
53,Lawrence Chaney_UK_2_REG,1,3.0
54,Bimini Bon Boulash_UK_2_REG,1,0.0
55,Tayce_UK_2_REG,1,2.0
56,Ellie Diamond_UK_2_REG,1,3.0
57,Tyra Sanchez_US_2_REG,1,3.0
58,Raven_US_2_REG,1,2.0
59,Jujubee_US_2_REG,1,2.0
60,Raja_US_3_REG,1,5.0
61,Manila Luzon_US_3_REG,1,3.0
62,Alexis Mateo_US_3_REG,1,2.0
63,Sharon Needles_US_4_REG,1,5.0
64,Chad Michaels_US_4_REG,1,2.0
65,Phi Phi O'Hara_US_4_REG,1,2.0
66,Jinkx Monsoon_US_5_REG,1,2.0
67,Alaska_US_5_REG,1,3.0
68,Roxxxy Andrews_US_5_REG,1,5.0
69,Bianca Del Rio_US_6_REG,1,
70,Adore Delano_US_6_REG,1,1.0
71,Courtney Act_US_6_REG,1,
72,Violet Chachki_US_7_REG,1,5.0
73,Ginger Minj_US_7_REG,1,2.0
74,Pearl_US_7_REG,1,2.0
75,Bob the Drag Queen_US_8_REG,1,2.0
76,Kim Chi_US_8_REG,1,5.0
