,season,country,format,w/r/e,queen,score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,code,finalist
1,1,US,AS,W,Chad Michaels,18.0,0.0,3.0,5.0,5.0,5.0,,,,,,,,,,US_1_AS,Chad Michaels_US_1_AS
2,1,US,AS,R,Raven,4.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,,,US_1_AS,Raven_US_1_AS
3,1,US,AS,E,Jujubee,4.0,3.0,1.0,0.0,0.0,0.0,,,,,,,,,,US_1_AS,Jujubee_US_1_AS
4,1,US,AS,E,Shannel,18.0,0.0,3.0,5.0,5.0,5.0,,,,,,,,,,US_1_AS,Shannel_US_1_AS
5,2,US,AS,W,Alaska,25.0,3.0,5.0,2.0,5.0,5.0,5.0,0.0,,,,,,,,US_2_AS,Alaska_US_2_AS
6,2,US,AS,R,Detox,20.0,2.0,0.0,4.0,2.0,5.0,2.0,5.0,,,,,,,,US_2_AS,Detox_US_2_AS
7,2,US,AS,R,Katya,16.0,2.0,4.0,0.0,0.0,2.0,4.0,4.0,,,,,,,,US_2_AS,Katya_US_2_AS
8,2,US,AS,E,Roxxxy Andrews,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,US_2_AS,Roxxxy Andrews_US_2_AS
9,3,US,AS,W,Trixie Mattel,15.0,2.0,2.0,3.0,0.0,4.0,0.0,4.0,,,,,,,,US_3_AS,Trixie Mattel_US_3_AS
10,3,US,AS,R,Kennedy Davenport,9.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,,,,,,,,US_3_AS,Kennedy Davenport_US_3_AS
11,3,US,AS,E,BeBe Zahara Benet,18.0,2.0,3.0,2.0,2.0,5.0,4.0,0.0,,,,,,,,US_3_AS,BeBe Zahara Benet_US_3_AS
12,3,US,AS,E,Shangela,20.0,3.0,5.0,2.0,5.0,0.0,0.0,5.0,,,,,,,,US_3_AS,Shangela_US_3_AS
13,4,US,AS,W,Monet X Change,20.0,1.0,4.0,2.0,0.0,5.0,2.0,2.0,4.0,0.0,,,,,,US_4_AS,Monet X Change_US_4_AS
14,4,US,AS,W,Trinity the Tuck,26.0,5.0,2.0,4.0,1.0,0.0,2.0,4.0,3.0,5.0,,,,,,US_4_AS,Trinity the Tuck_US_4_AS
15,4,US,AS,E,Monique Heart,22.0,4.0,0.0,2.0,5.0,0.0,2.0,2.0,3.0,4.0,,,,,,US_4_AS,Monique Heart_US_4_AS
16,4,US,AS,E,Naomi Smalls,18.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,5.0,0.0,,,,,,US_4_AS,Naomi Smalls_US_4_AS
17,5,US,AS,R,Jujubee,21.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,US_5_AS,Jujubee_US_5_AS
18,5,US,AS,W,Shea Coulee,18.0,2.0,5.0,0.0,2.0,5.0,3.0,1.0,,,,,,,,US_5_AS,Shea Coulee_US_5_AS
19,5,US,AS,R,Miz Cracker,22.0,3.0,2.0,2.0,5.0,1.0,4.0,5.0,,,,,,,,US_5_AS,Miz Cracker_US_5_AS
20,1,CAN,REG,W,Priyanka,22.0,2.0,3.0,5.0,2.0,0.0,2.0,0.0,5.0,3.0,,,,,,CAN_1_REG,Priyanka_CAN_1_REG
21,1,CAN,REG,R,Rita Baga,24.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,0.0,0.0,,,,,,CAN_1_REG,Rita Baga_CAN_1_REG
22,1,CAN,REG,R,Scarlett BoBo,26.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,,,,,,CAN_1_REG,Scarlett BoBo_CAN_1_REG
23,1,HOL,REG,W,Envy Peru,26.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,,,,,,,,HOL_1_REG,Envy Peru_HOL_1_REG
24,1,HOL,REG,R,Janey Jacke,20.0,5.0,2.0,2.0,3.0,3.0,0.0,5.0,,,,,,,,HOL_1_REG,Janey Jacke_HOL_1_REG
25,1,HOL,REG,E,Ma'Ma Queen,12.0,1.0,2.0,5.0,0.0,3.0,1.0,0.0,,,,,,,,HOL_1_REG,Ma'Ma Queen_HOL_1_REG
26,1,HOL,REG,E,Miss Abby OMG,7.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,HOL_1_REG,Miss Abby OMG_HOL_1_REG
27,1,THI,REG,W,Natalia Pilacam,19.5,2.0,4.0,2.0,0.5,5.0,3.0,3.0,,,,,,,,THI_1_REG,Natalia Pilacam_THI_1_REG
28,1,THI,REG,R,Annee Maywong,20.0,4.0,3.0,4.0,1.0,0.0,3.0,5.0,,,,,,,,THI_1_REG,Annee Maywong_THI_1_REG
29,1,THI,REG,R,Dearis Doll,15.0,2.0,2.0,0.0,4.0,2.0,5.0,0.0,,,,,,,,THI_1_REG,Dearis Doll_THI_1_REG
30,1,UK,REG,W,The Vivienne,24.0,5.0,3.0,3.0,5.0,0.0,5.0,3.0,,,,,,,,UK_1_REG,The Vivienne_UK_1_REG
31,1,UK,REG,R,Divina de Campo,23.0,2.0,2.0,5.0,1.0,5.0,3.0,5.0,,,,,,,,UK_1_REG,Divina de Campo_UK_1_REG
32,1,UK,REG,E,Baga Chipz,21.0,3.0,5.0,2.0,5.0,5.0,1.0,0.0,,,,,,,,UK_1_REG,Baga Chipz_UK_1_REG
33,1,US,REG,W,Bebe Zahara Benet,17.0,2.0,2.0,5.0,3.0,0.0,5.0,,,,,,,,,US_1_REG,Bebe Zahara Benet_US_1_REG
34,1,US,REG,R,Nina Flowers,18.0,5.0,3.0,3.0,3.0,1.0,3.0,,,,,,,,,US_1_REG,Nina Flowers_US_1_REG
35,1,US,REG,E,Rebbeca Glasscock,11.0,1.0,3.0,2.0,0.0,5.0,0.0,,,,,,,,,US_1_REG,Rebbeca Glasscock_US_1_REG
36,10,US,REG,W,Aquaria,32.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0,2.0,,,US_10_REG,Aquaria_US_10_REG
37,10,US,REG,R,Eureka,30.0,2.0,0.0,3.0,2.0,5.0,5.0,3.0,2.0,0.0,3.0,3.0,2.0,,,US_10_REG,Eureka_US_10_REG
38,10,US,REG,R,Kameron Michaels,23.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,,,US_10_REG,Kameron Michaels_US_10_REG
39,10,US,REG,E,Asia O'Hara,28.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,3.0,3.0,2.0,,,US_10_REG,Asia O'Hara_US_10_REG
40,11,US,REG,W,Yvie Oddly,29.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,2.0,,,US_11_REG,Yvie Oddly_US_11_REG
41,11,US,REG,R,Brooke Lynn Hytes,34.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,0.0,3.0,3.0,5.0,0.0,,,US_11_REG,Brooke Lynn Hytes_US_11_REG
42,11,US,REG,E,A'keria Davenport,28.0,3.0,2.0,0.0,2.0,2.0,5.0,0.0,2.0,5.0,2.0,3.0,2.0,,,US_11_REG,A'keria Davenport_US_11_REG
43,11,US,REG,E,Silky Nutmeg Ganache,29.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,5.0,3.0,1.0,0.0,2.0,,,US_11_REG,Silky Nutmeg Ganache_US_11_REG
44,12,US,REG,W,Jaida Essence Hall,32.0,,5.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,0.0,3.0,,,US_12_REG,Jaida Essence Hall_US_12_REG
45,12,US,REG,R,Crystal Methyd,25.0,2.0,,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,0.0,,,US_12_REG,Crystal Methyd_US_12_REG
46,12,US,REG,R,Gigi Goode,36.0,4.0,,2.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,,,US_12_REG,Gigi Goode_US_12_REG
47,13,US,REG,W,Symone,37.0,3.0,5.0,,5.0,2.0,2.0,3.0,0.0,2.0,5.0,5.0,0.0,3.0,2.0,US_13_REG,Symone_US_13_REG
48,13,US,REG,R,Kandy Muse,27.0,3.0,1.0,,3.0,2.0,0.0,3.0,0.0,2.0,3.0,3.0,5.0,0.0,2.0,US_13_REG,Kandy Muse_US_13_REG
49,13,US,REG,E,Gottmik,35.0,3.0,1.0,,2.0,5.0,2.0,2.0,3.0,5.0,3.0,1.0,3.0,3.0,2.0,US_13_REG,Gottmik_US_13_REG
50,13,US,REG,E,Rose,39.0,1.0,,4.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,5.0,3.0,5.0,2.0,US_13_REG,Rose_US_13_REG
51,2,THI,REG,W,Angele Anang,31.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0,,,,THI_2_REG,Angele Anang_THI_2_REG
52,2,THI,REG,R,Kana Warrior,15.0,2.0,2.0,0.0,0.0,0.0,,,3.0,0.0,4.0,4.0,,,,THI_2_REG,Kana Warrior_THI_2_REG
53,2,THI,REG,R,Kandy Zyanide,23.0,3.0,2.0,2.0,0.0,,,,3.0,5.0,4.0,4.0,,,,THI_2_REG,Kandy Zyanide_THI_2_REG
54,2,UK,REG,W,Lawrence Chaney,26.0,3.0,1.0,5.0,5.0,5.0,0.0,1.0,3.0,3.0,,,,,,UK_2_REG,Lawrence Chaney_UK_2_REG
55,2,UK,REG,R,Bimini Bon Boulash,30.0,0.0,2.0,3.0,3.0,5.0,5.0,2.0,5.0,5.0,,,,,,UK_2_REG,Bimini Bon Boulash_UK_2_REG
56,2,UK,REG,R,Tayce,14.0,2.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,,,,,,UK_2_REG,Tayce_UK_2_REG
57,2,UK,REG,E,Ellie Diamond,18.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,,,,,,UK_2_REG,Ellie Diamond_UK_2_REG
58,2,US,REG,W,Tyra Sanchez,30.0,3.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0,5.0,,,,,,US_2_REG,Tyra Sanchez_US_2_REG
59,2,US,REG,R,Raven,23.0,2.0,0.0,0.0,2.0,3.0,3.0,5.0,5.0,3.0,,,,,,US_2_REG,Raven_US_2_REG
60,2,US,REG,E,Jujubee,14.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,,,,,,US_2_REG,Jujubee_US_2_REG
61,3,US,REG,W,Raja,33.0,5.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,0.0,3.0,,,US_3_REG,Raja_US_3_REG
62,3,US,REG,R,Manila Luzon,34.0,3.0,2.0,2.0,5.0,2.0,3.0,0.0,1.0,3.0,3.0,5.0,5.0,,,US_3_REG,Manila Luzon_US_3_REG
63,3,US,REG,E,Alexis Mateo,29.0,2.0,5.0,5.0,2.0,3.0,0.0,2.0,5.0,2.0,0.0,3.0,0.0,,,US_3_REG,Alexis Mateo_US_3_REG
64,4,US,REG,W,Sharon Needles,36.0,5.0,3.0,5.0,2.0,3.0,2.0,3.0,0.0,5.0,1.0,5.0,2.0,,,US_4_REG,Sharon Needles_US_4_REG
65,4,US,REG,R,Chad Michaels,31.0,2.0,5.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,0.0,2.0,,,US_4_REG,Chad Michaels_US_4_REG
66,4,US,REG,R,Phi Phi O'Hara,29.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,0.0,1.0,5.0,3.0,2.0,,,US_4_REG,Phi Phi O'Hara_US_4_REG
67,5,US,REG,W,Jinkx Monsoon,34.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,0.0,2.0,,,US_5_REG,Jinkx Monsoon_US_5_REG
68,5,US,REG,R,Alaska,29.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,5.0,3.0,1.0,5.0,2.0,,,US_5_REG,Alaska_US_5_REG
69,5,US,REG,R,Roxxxy Andrews,31.0,5.0,2.0,3.0,1.0,3.0,3.0,0.0,1.0,3.0,5.0,3.0,2.0,,,US_5_REG,Roxxxy Andrews_US_5_REG
70,6,US,REG,W,Bianca Del Rio,36.0,,5.0,3.0,2.0,3.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,,,US_6_REG,Bianca Del Rio_US_6_REG
71,6,US,REG,R,Adore Delano,27.0,1.0,,1.0,3.0,3.0,5.0,5.0,2.0,0.0,0.0,5.0,2.0,,,US_6_REG,Adore Delano_US_6_REG
72,6,US,REG,R,Courtney Act,26.0,,2.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,,,US_6_REG,Courtney Act_US_6_REG
73,7,US,REG,W,Violet Chachki,33.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,5.0,2.0,,,US_7_REG,Violet Chachki_US_7_REG
74,7,US,REG,R,Ginger Minj,32.0,2.0,5.0,3.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,3.0,2.0,,,US_7_REG,Ginger Minj_US_7_REG
75,7,US,REG,R,Pearl,26.0,2.0,2.0,1.0,0.0,5.0,2.0,2.0,5.0,0.0,2.0,3.0,2.0,,,US_7_REG,Pearl_US_7_REG
76,8,US,REG,W,Bob the Drag Queen,25.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0,0.0,2.0,,,,,,US_8_REG,Bob the Drag Queen_US_8_REG
77,8,US,REG,R,Kim Chi,26.0,5.0,3.0,2.0,3.0,2.0,3.0,1.0,5.0,2.0,,,,,,US_8_REG,Kim Chi_US_8_REG
78,8,US,REG,R,Naomi Smalls,21.0,1.0,2.0,2.0,3.0,0.0,5.0,3.0,3.0,2.0,,,,,,US_8_REG,Naomi Smalls_US_8_REG
79,9,US,REG,W,Sasha Velour,34.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,3.0,2.0,,,US_9_REG,Sasha Velour_US_9_REG
80,9,US,REG,R,Peppermint,25.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,5.0,3.0,2.0,0.0,2.0,,,US_9_REG,Peppermint_US_9_REG
81,9,US,REG,E,Shea Coulee,37.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,3.0,5.0,0.0,5.0,2.0,,,US_9_REG,Shea Coulee_US_9_REG
82,9,US,REG,E,Trinity the Tuck,31.0,2.0,3.0,5.0,0.0,2.0,2.0,5.0,1.0,3.0,5.0,1.0,2.0,,,US_9_REG,Trinity the Tuck_US_9_REG
83,1,AUS,REG,W,Kita Mean,18.0,2.0,3.0,3.0,2.0,3.0,5.0,0.0,,,,,,,,AUS_1_REG,Kita Mean_AUS_1_REG
84,1,AUS,REG,R,Art Simone,11.0,3.0,0.0,,3.0,2.0,2.0,1.0,,,,,,,,AUS_1_REG,Art Simone_AUS_1_REG
