Rank WRE,Rank,Country,Season,Code,W/R/E,Queen,Z-Score,Percent,Score,Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Mean: 3.11,,Bttm,Low,Safe,High,SWin,Win,LSA,T,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,StDev: 4.03,,-2,-1,0,1,1.5,2,,,Never/--,Rank,Rank
18,8,US,AS1,US_AS1,W,Chad Michaels,0.47,100.00%,5,5,-2,1,2,2,2,,,,,,,,,,,,,1,0,0,1,0,3,,,--,"1,220",1
131,159,US,AS1,US_AS1,R,Raven,-2.26,-120.00%,-6,5,1,-1,-2,-2,-2,,,,,,,,,,,,,3,1,0,1,0,0,LSA,2,--,237,140
77,159,US,AS1,US_AS1,E,Jujubee,-2.26,-120.00%,-6,5,1,-1,-2,-2,-2,,,,,,,,,,,,,3,1,0,1,0,0,LSA,2,--,237,140
6,8,US,AS1,US_AS1,E,Shannel,0.47,100.00%,5,5,-2,1,2,2,2,,,,,,,,,,,,,1,0,0,1,0,3,,,--,"1,220",1
18,8,US,AS2,US_AS2,W,Alaska,0.97,100.00%,7,7,1,2,0,2,2,2,-2,,,,,,,,,,,1,0,1,1,0,4,,,--,"1,220",1
41,60,US,AS2,US_AS2,R,Detox,0.10,50.00%,3.5,7,0,-2,1.5,0,2,0,2,,,,,,,,,,,1,0,3,0,1,2,,,--,"1,155",42
84,122,US,AS2,US_AS2,R,Katya,-0.65,7.14%,0.5,7,0,1.5,-2,-2,0,1.5,1.5,,,,,,,,,,,2,0,2,0,3,0,,,--,"1,068",103
76,158,US,AS2,US_AS2,E,Roxxxy Andrews,-2.76,-114.29%,-8,7,2,-2,0,-2,-2,-2,-2,,,,,,,,,,,5,0,1,0,0,1,LSA,4,--,239,139
78,123,US,AS3,US_AS3,W,Trixie Mattel,-0.77,0.00%,0,7,0,0,1,-2,1.5,-2,1.5,,,,,,,,,,,2,0,2,1,2,0,,,--,450,104
122,156,US,AS3,US_AS3,R,Kennedy Davenport,-2.26,-85.71%,-6,7,0,-2,2,-2,0,-2,-2,,,,,,,,,,,4,0,2,0,0,1,LSA,3,--,373,137
24,81,US,AS3,US_AS3,E,BeBe Zahara Benet,-0.15,35.71%,2.5,7,0,1,0,0,2,1.5,-2,,,,,,,,,,,1,0,3,1,1,1,,,--,"1,125",63
21,70,US,AS3,US_AS3,E,Shangela,-0.03,42.86%,3,7,1,2,0,2,-2,-2,2,,,,,,,,,,,2,0,1,1,0,3,,,--,"1,134",52
78,123,US,AS4,US_AS4,W,Monet X Change,-0.77,0.00%,0,9,-1,1.5,0,-2,2,0,0,1.5,-2,,,,,,,,,2,1,3,0,2,1,,,--,450,104
46,53,US,AS4,US_AS4,W,Trinity The Tuck,0.47,55.56%,5,9,2,0,1.5,-1,-2,0,1.5,1,2,,,,,,,,,1,1,2,1,2,2,,,--,"1,168",35
30,99,US,AS4,US_AS4,E,Monique Heart,-0.28,22.22%,2,9,1.5,-2,0,2,-2,0,0,1,1.5,,,,,,,,,2,0,3,1,2,1,,,--,"1,102",81
47,132,US,AS4,US_AS4,E,Naomi Smalls,-1.02,-11.11%,-1,9,1,1,1,0,-2,0,-2,2,-2,,,,,,,,,3,0,2,3,0,1,LSA,2,--,434,113
13,16,US,AS5,US_AS5,R,Jujubee,0.84,92.86%,6.5,7,0,1,1.5,1,1,1,1,,,,,,,,,,,0,0,1,5,1,0,,,Never,133,9
66,92,US,AS5,US_AS5,W,Shea Coulee,-0.28,28.57%,2,7,0,2,-2,0,2,1,-1,,,,,,,,,,,1,1,2,1,0,2,,,--,"1,111",74
23,30,US,AS5,US_AS5,R,Miz Cracker,0.59,78.57%,5.5,7,1,0,0,2,-1,1.5,2,,,,,,,,,,,0,1,2,1,1,2,,,--,"1,200",16
68,99,CAN,S1,CAN_S1,W,Priyanka,-0.28,22.22%,2,9,0,1,2,0,-2,0,-2,2,1,,,,,,,,,2,0,3,2,0,2,,,--,"1,102",81
58,82,CAN,S1,CAN_S1,R,Rita Baga,-0.03,33.33%,3,9,2,0,0,2,1,2,0,-2,-2,,,,,,,,,2,0,3,1,0,3,,,--,"1,116",64
24,31,CAN,S1,CAN_S1,R,Scarlett BoBo,0.97,77.78%,7,9,0,0,1,1,0,1,1,1,2,,,,,,,,,0,0,3,5,0,1,,,Never,124,15
14,3,HOL,S1,HOL_S1,W,Envy Peru,1.21,114.29%,8,7,0,2,0,2,2,2,0,,,,,,,,,,,0,0,3,0,0,4,,,Never,200,3
37,48,HOL,S1,HOL_S1,R,Janey Jacke,0.22,57.14%,4,7,2,0,0,1,1,-2,2,,,,,,,,,,,1,0,2,2,0,2,,,--,"1,172",30
61,147,HOL,S1,HOL_S1,E,Ma'Ma Queen,-1.52,-42.86%,-3,7,-1,0,2,-2,1,-1,-2,,,,,,,,,,,2,2,1,1,0,1,,,--,402,128
72,157,HOL,S1,HOL_S1,E,Miss Abby OMG,-2.51,-100.00%,-7,7,0,0,-2,-2,-2,1,-2,,,,,,,,,,,4,0,2,1,0,0,LSA,3,--,249,138
31,20,THI,S1,THI_S1,W,Natalia Pilacam,0.72,85.71%,6,7,0,1.5,0,0.5,2,1,1,,,,,,,,,,,0,0,2,2,1,1,,,Never,132,10
37,48,THI,S1,THI_S1,R,Annee Maywong,0.22,57.14%,4,7,1.5,1,1.5,-1,-2,1,2,,,,,,,,,,,1,1,0,2,2,1,,,--,"1,172",30
94,130,THI,S1,THI_S1,R,Dearis Doll,-0.90,-7.14%,-0.5,7,0,0,-2,1.5,0,2,-2,,,,,,,,,,,2,0,3,0,1,1,,,--,437,111
18,8,UK,S1,UK_S1,W,The Vivienne,0.97,100.00%,7,7,2,1,1,2,-2,2,1,,,,,,,,,,,1,0,0,3,0,3,,,--,"1,220",1
17,20,UK,S1,UK_S1,R,Divina de Campo,0.72,85.71%,6,7,0,0,2,-1,2,1,2,,,,,,,,,,,0,1,2,1,0,3,,,--,"1,203",11
16,48,UK,S1,UK_S1,E,Baga Chipz,0.22,57.14%,4,7,1,2,0,2,2,-1,-2,,,,,,,,,,,1,1,1,1,0,3,,,--,"1,172",30
51,60,US,S1,US_S1,W,Bebe Zahara Benet,-0.03,50.00%,3,6,0,0,2,1,-2,2,,,,,,,,,,,,1,0,2,1,0,2,,,--,"1,155",42
20,25,US,S1,US_S1,R,Nina Flowers,0.47,83.33%,5,6,2,1,1,1,-1,1,,,,,,,,,,,,0,1,0,4,0,1,,,--,"1,201",15
58,145,US,S1,US_S1,E,Rebbeca Glasscock,-1.27,-33.33%,-2,6,-1,1,0,-2,2,-2,,,,,,,,,,,,2,1,1,1,0,1,,,--,405,126
63,73,US,S10,US_S10,W,Aquaria,0.47,41.67%,5,12,0,0,0,2,0,0,2,-1,1,-1,2,0,,,,,,0,2,6,1,0,3,,,--,"1,130",55
58,82,US,S10,US_S10,R,Eureka,0.22,33.33%,4,12,0,-2,1,0,2,2,1,0,-2,1,1,0,,,,,,2,0,4,4,0,2,,,--,"1,116",64
101,140,US,S10,US_S10,R,Kameron Michaels,-1.27,-16.67%,-2,12,0,1,-1,1,0,1,0,2,-2,-2,-2,0,,,,,,3,1,4,3,0,1,LSA,2,--,425,121
35,109,US,S10,US_S10,E,Asia O'Hara,-0.28,16.67%,2,12,0,0,2,-1,0,0,-1,-2,2,1,1,0,,,,,,1,2,5,2,0,2,,,--,"1,081",90
64,82,US,S11,US_S11,W,Yvie Oddly,0.22,33.33%,4,12,0,2,1,1,1,1,1,-2,0,0,-1,0,,,,,,1,1,4,5,0,1,,,--,"1,116",64
35,45,US,S11,US_S11,R,Brooke Lynn Hytes,0.97,58.33%,7,12,2,-1,1,1,2,1,1,-2,1,1,2,-2,,,,,,2,1,0,6,0,3,,,--,"1,177",27
35,109,US,S11,US_S11,E,A'keria Davenport,-0.28,16.67%,2,12,1,0,-2,0,0,2,-2,0,2,0,1,0,,,,,,2,0,6,2,0,2,,,--,"1,081",90
29,95,US,S11,US_S11,E,Silky Nutmeg Ganache,-0.03,25.00%,3,12,0,0,1,2,-1,1,0,2,1,-1,-2,0,,,,,,1,2,4,3,0,2,,,--,"1,107",77
44,43,US,S12,US_S12,W,Jaida Essence Hall,0.97,63.64%,7,11,,2,0,1,0,0,0,1,2,2,-2,1,,,,,,1,0,4,3,0,3,,,--,"1,182",25
75,106,US,S12,US_S12,R,Crystal Methyd,-0.28,18.18%,2,11,0,,-1,0,0,-1,1,1,1,1,2,-2,,,,,,1,2,3,4,0,1,,,--,"1,084",87
16,19,US,S12,US_S12,R,Gigi Goode,1.59,86.36%,9.5,11,1.5,,0,2,1,2,2,-1,-1,0,1,2,,,,,,0,2,2,2,1,4,,,--,"1,206",10
50,58,US,S13,US_S13,W,Symone,0.97,53.85%,7,13,1,2,,2,0,0,1,-2,0,2,2,-2,1,0,,,,2,0,4,3,0,4,,,--,"1,165",40
