,Placement,Queen,code,Design,Snatch Game,Ball,Makeover,Acting,Girl Groups,Rusical,count
0,1,Kita Mean,AUS1,SAFE,HIGH,,WIN,,HIGH,,4
1,1,Spankie Jackzon,AUS2,BTM,HIGH,,HIGH,WIN,WIN,,5
2,1,Priyanka,CAN1,SAFE,BTM,SAFE,WIN,HIGH,WIN,,6
3,1,Icesis Couture,CAN2,WIN,SAFE,WIN,BTM,SAFE,HIGH,BTM,7
4,1,Gisele Lullaby,CAN3,WIN,WIN,HIGH,,,,BTM,4
5,1,Ra'Jah O'Hara,CAN_WORLD1,,WIN,SAFE,,HIGH,HIGH,,4
6,1,Carmen Farala,ESP1,SAFE,LOW,,WIN,HIGH,WIN,,5
7,1,Sharonne,ESP2,,WIN,SAFE,HIGH,,,WIN,4
8,1,Paloma,FRA1,,HIGH,HIGH,HIGH,WIN,BTM,,5
9,1,Envy Peru,HOL1,,WIN,,WIN,SAFE,,SAFE,4
10,1,Vanessa Van Cartier,HOL2,SAFE,SAFE,,WIN,SAFE,,LOW,5
11,1,Elecktra Bionic,ITA1,SAFE,SAFE,,HIGH,,,SAFE,4
12,1,La Diamond,ITA2,WIN,WIN,,SAFE,SAFE,,SAFE,5
13,1,Precious Paula Nicole,PH1,HIGH,SAFE,LOW,HIGH,,SAFE,WIN,6
14,1,Natalia Pilacam,THI1,SAFE,WIN,,HIGH,,,,3
15,1,Angele Anang,THI2,WIN,SAFE,,WIN,WIN,,BTM,5
16,1,The Vivienne,UK1,HIGH,WIN,,HIGH,HIGH,BTM,,5
17,1,Lawrence Chaney,UK2,LOW,BTM,,,HIGH,WIN,LOW,5
18,1,Krystal Versace,UK3,,LOW,WIN,,HIGH,SAFE,,4
19,1,Danny Beard,UK4,SAFE,SAFE,,HIGH,HIGH,WIN,WIN,6
20,1,Blu Hydrangea,UK_WORLD1,,WIN,SAFE,,,,SAFE,3
21,1,Bebe Zahara Benet,US1,SAFE,,WIN,BTM,,SAFE,,4
22,1,Tyra Sanchez,US2,HIGH,SAFE,WIN,HIGH,HIGH,,,5
23,1,Raja,US3,WIN,HIGH,HIGH,BTM,SAFE,,,5
24,1,Sharon Needles,US4,WIN,HIGH,WIN,LOW,SAFE,,,5
25,1,Jinkx Monsoon,US5,SAFE,WIN,BTM,HIGH,SAFE,,,5
26,1,Bianca Del Rio,US6,WIN,HIGH,HIGH,WIN,HIGH,HIGH,SAFE,7
27,1,Violet Chachki,US7,WIN,SAFE,WIN,HIGH,SAFE,,HIGH,6
28,1,Bob the Drag Queen,US8,SAFE,WIN,BTM,SAFE,WIN,SAFE,SAFE,7
29,1,Sasha Velour,US9,SAFE,HIGH,HIGH,HIGH,LOW,,SAFE,6
30,1,Aquaria,US10,SAFE,WIN,WIN,LOW,HIGH,,SAFE,6
31,1,Yvie Oddly,US11,SAFE,BTM,HIGH,LOW,WIN,,HIGH,6
32,1,Jaida Essence Hall,US12,,SAFE,HIGH,WIN,,,HIGH,4
33,1,Symone,US13,,SAFE,SAFE,WIN,WIN,,BTM,5
34,1,Willow Pill,US14,SAFE,BTM,WIN,,HIGH,,HIGH,5
35,1,Chad Michaels,US AS1,,HIGH,WIN,WIN,,,,3
36,1,Alaska,US AS2,,WIN,,BTM,WIN,,SAFE,4
37,1,Trixie Mattel,US AS3,,BTM,WIN,,WIN,BTM,SAFE,5
38,1,Monet X Change,US AS4,HIGH,SAFE,,WIN,BTM,WIN,,5
39,1,Trinity The Tuck,US AS4,WIN,WIN,,HIGH,WIN,SAFE,,5
40,1,Shea Coulee,US AS5,BTM,WIN,HIGH,,,WIN,,4
41,1,Kylie Sonique Love,US AS6,LOW,HIGH,HIGH,,WIN,HIGH,SAFE,6
42,1,Jinkx Monsoon,US AS7,SAFE,WIN,SAFE,,SAFE,SAFE,,5
43,0,Anetra,US15,SAFE,SAFE,HIGH,WIN,HIGH,LOW,WIN,7
44,0,Mistress Isabelle Brooks,US15,SAFE,HIGH,HIGH,HIGH,WIN,HIGH,HIGH,7
45,0,Sasha Colby,US15,HIGH,SAFE,WIN,HIGH,SAFE,HIGH,HIGH,7
46,0,Luxx Noir London,US15,WIN,SAFE,SAFE,BTM,SAFE,SAFE,HIGH,7
47,0,Athena Sorgelikis,BEL1,,LOW,SAFE,WIN,SAFE,,,4
48,0,Drag Couenne,BEL1,,SAFE,SAFE,HIGH,WIN,,,4
49,0,Mademoiselle Boop,BEL1,,WIN,HIGH,BTM,SAFE,,,4
50,0,Susan,BEL1,,HIGH,WIN,LOW,BTM,,,4
