,Placement,Queen,code,Design,Snatch Game,Ball,Makeover,Acting,Girl Groups,Rusical,count
0,1,Kita Mean,AUS1,3.0,4.0,0.0,5.0,0.0,4.0,0.0,4
1,1,Spankie Jackzon,AUS2,1.0,4.0,0.0,4.0,5.0,5.0,0.0,5
2,1,Priyanka,CAN1,3.0,1.0,3.0,5.0,4.0,5.0,0.0,6
3,1,Icesis Couture,CAN2,5.0,3.0,5.0,1.0,3.0,4.0,1.0,7
4,1,Gisele Lullaby,CAN3,5.0,5.0,4.0,0.0,0.0,0.0,1.0,4
5,1,Ra'Jah O'Hara,CAN_WORLD1,0.0,5.0,3.0,0.0,4.0,4.0,0.0,4
6,1,Carmen Farala,ESP1,3.0,2.0,0.0,5.0,4.0,5.0,0.0,5
7,1,Sharonne,ESP2,0.0,5.0,3.0,4.0,0.0,0.0,5.0,4
8,1,Paloma,FRA1,0.0,4.0,4.0,4.0,5.0,1.0,0.0,5
9,1,Envy Peru,HOL1,0.0,5.0,0.0,5.0,3.0,0.0,3.0,4
10,1,Vanessa Van Cartier,HOL2,3.0,3.0,0.0,5.0,3.0,0.0,2.0,5
11,1,Elecktra Bionic,ITA1,3.0,3.0,0.0,4.0,0.0,0.0,3.0,4
12,1,La Diamond,ITA2,5.0,5.0,0.0,3.0,3.0,0.0,3.0,5
13,1,Precious Paula Nicole,PH1,4.0,3.0,2.0,4.0,0.0,3.0,5.0,6
14,1,Natalia Pilacam,THI1,3.0,5.0,0.0,4.0,0.0,0.0,0.0,3
15,1,Angele Anang,THI2,5.0,3.0,0.0,5.0,5.0,0.0,1.0,5
16,1,The Vivienne,UK1,4.0,5.0,0.0,4.0,4.0,1.0,0.0,5
17,1,Lawrence Chaney,UK2,2.0,1.0,0.0,0.0,4.0,5.0,2.0,5
18,1,Krystal Versace,UK3,0.0,2.0,5.0,0.0,4.0,3.0,0.0,4
19,1,Danny Beard,UK4,3.0,3.0,0.0,4.0,4.0,5.0,5.0,6
20,1,Blu Hydrangea,UK_WORLD1,0.0,5.0,3.0,0.0,0.0,0.0,3.0,3
21,1,Bebe Zahara Benet,US1,3.0,0.0,5.0,1.0,0.0,3.0,0.0,4
22,1,Tyra Sanchez,US2,4.0,3.0,5.0,4.0,4.0,0.0,0.0,5
23,1,Raja,US3,5.0,4.0,4.0,1.0,3.0,0.0,0.0,5
24,1,Sharon Needles,US4,5.0,4.0,5.0,2.0,3.0,0.0,0.0,5
25,1,Jinkx Monsoon,US5,3.0,5.0,1.0,4.0,3.0,0.0,0.0,5
26,1,Bianca Del Rio,US6,5.0,4.0,4.0,5.0,4.0,4.0,3.0,7
27,1,Violet Chachki,US7,5.0,3.0,5.0,4.0,3.0,0.0,4.0,6
28,1,Bob the Drag Queen,US8,3.0,5.0,1.0,3.0,5.0,3.0,3.0,7
29,1,Sasha Velour,US9,3.0,4.0,4.0,4.0,2.0,0.0,3.0,6
30,1,Aquaria,US10,3.0,5.0,5.0,2.0,4.0,0.0,3.0,6
31,1,Yvie Oddly,US11,3.0,1.0,4.0,2.0,5.0,0.0,4.0,6
32,1,Jaida Essence Hall,US12,0.0,3.0,4.0,5.0,0.0,0.0,4.0,4
33,1,Symone,US13,0.0,3.0,3.0,5.0,5.0,0.0,1.0,5
34,1,Willow Pill,US14,3.0,1.0,5.0,0.0,4.0,0.0,4.0,5
35,1,Chad Michaels,US AS1,0.0,4.0,5.0,5.0,0.0,0.0,0.0,3
36,1,Alaska,US AS2,0.0,5.0,0.0,1.0,5.0,0.0,3.0,4
37,1,Trixie Mattel,US AS3,0.0,1.0,5.0,0.0,5.0,1.0,3.0,5
38,1,Monet X Change,US AS4,4.0,3.0,0.0,5.0,1.0,5.0,0.0,5
39,1,Trinity The Tuck,US AS4,5.0,5.0,0.0,4.0,5.0,3.0,0.0,5
40,1,Shea Coulee,US AS5,1.0,5.0,4.0,0.0,0.0,5.0,0.0,4
41,1,Kylie Sonique Love,US AS6,2.0,4.0,4.0,0.0,5.0,4.0,3.0,6
42,1,Jinkx Monsoon,US AS7,3.0,5.0,3.0,0.0,3.0,3.0,0.0,5
43,0,Anetra,US15,3.0,3.0,4.0,5.0,4.0,2.0,5.0,7
44,0,Mistress Isabelle Brooks,US15,3.0,4.0,4.0,4.0,5.0,4.0,4.0,7
45,0,Sasha Colby,US15,4.0,3.0,5.0,4.0,3.0,4.0,4.0,7
46,0,Luxx Noir London,US15,5.0,3.0,3.0,1.0,3.0,3.0,4.0,7
47,0,Athena Sorgelikis,BEL1,0.0,2.0,3.0,5.0,3.0,0.0,0.0,4
48,0,Drag Couenne,BEL1,0.0,3.0,3.0,4.0,5.0,0.0,0.0,4
49,0,Mademoiselle Boop,BEL1,0.0,5.0,4.0,1.0,3.0,0.0,0.0,4
50,0,Susan,BEL1,0.0,4.0,5.0,2.0,1.0,0.0,0.0,4
